;date;time;dateTime;dayOfWeek;holiday;dayId;loadCons;loadProd;loadGrid;newLoadGrid;batterySOC;batteryActions;pvUsage;prices;batteryLastSOC;totalPrice;totalImport;totalExport;totalCons;totalPvUsage;contAct;batteryAct;numContChar;numContDisch;charges;discharges;CharChanges;batNullStates;batLifeLoss;batLifeLossPerDisch;avgDOD;avgDODPerDisch;avgDischAction;DischAction;avgSOC;totalBat;sumDOD;sumDODPerDisch;sumSOC;sumDischAction
1;2014-01-01;00:00:00;2014-01-01 00:00:00;3;1;1;0.4226333333333329;0.0;0.4308333333333329;4.004772148482181;5.4;3.5821388151488485;0.0;0.00493;9.64378350919426;274.3928341144986;7314.227744786609;3869.121244610775;9562.489850000002;2257.908924570061;0.0;1.0;0.0;0.0;1397.0;1396.0;2792.0;60.0;83.4909543565055;0.05980727389434491;0.24185369965922826;0.2492616209075701;0.22292049631670116;311.1970128581148;0.758146300340771;632.0378092254258;27542.299317192916;347.96922278696786;86337.700682807;311.1970128581148
2;2014-01-01;01:00:00;2014-01-01 01:00:00;3;1;1;0.4022333333333329;0.0;0.4103333333333329;0.47483988292751633;3.654745364743032;0.07260654959418344;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2014-01-01;02:00:00;2014-01-01 02:00:00;3;1;1;0.40695;0.0;0.4151;1.8675274036456753;5.115322768388707;1.4605774036456753;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2014-01-01;03:00:00;2014-01-01 03:00:00;3;1;1;0.4246166666666671;0.0;0.4327833333333329;0.4247219643840694;5.11542806610611;0.00010529771740230842;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2014-01-01;04:00:00;2014-01-01 04:00:00;3;1;1;0.74865;0.0;0.757133333333333;0.7487349748135865;5.115513040919696;8.49748135864914e-05;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2014-01-01;05:00:00;2014-01-01 05:00:00;3;1;1;0.639983333333333;0.0;0.648333333333333;0.6400586876350701;5.115588395221433;7.535430173710722e-05;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2014-01-01;06:00:00;2014-01-01 06:00:00;3;1;1;0.591716666666667;0.0;0.600016666666667;0.5918175942613505;5.115689322816117;0.00010092759468349755;0.0;0.00493;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2014-01-01;07:00:00;2014-01-01 07:00:00;3;1;1;0.584266666666667;0.0;0.586583333333333;0.5843081593641325;5.115730815513582;4.149269746545059e-05;0.0;0.0504;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2014-01-01;08:00:00;2014-01-01 08:00:00;3;1;1;0.5691833333333329;1.04795;-0.4787;-0.0026588226388630787;5.591838659541386;0.47610784402780393;1.0452911773611369;0.0504;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2014-01-01;09:00:00;2014-01-01 09:00:00;3;1;1;0.4986666666666671;2.1177;-1.6190166666666699;-0.7670448050256764;6.443827187849043;0.8519885283076567;1.3506551949743237;0.0504;;;;;;;;;;;;;;;;;;;;;;;;;;
